,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
227,bakery-cakes-dairy,Bakery Cakes Dairy,,bakery-snacks,Bakery Snacks,,bread-sticks-lavash,Bread Sticks Lavash,
228,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,children-2-5-yrs,Children 2 5 Yrs,
229,beauty-hygiene,Beauty Hygiene,,oral-care,Oral Care,,toothbrush,Toothbrush,
230,kitchen-garden-pets,Kitchen Garden Pets,,flask-casserole,Flask Casserole,,lunch-boxes-bottles,Lunch Boxes Bottles,
231,foodgrains-oil-masala,Foodgrains Oil Masala,,dry-fruits,Dry Fruits,,raisins,Raisins,
232,beauty-hygiene,Beauty Hygiene,,oral-care,Oral Care,,toothpaste,Toothpaste,
233,bakery-cakes-dairy,Bakery Cakes Dairy,,bakery-snacks,Bakery Snacks,,puffs-patties-sandwiches,Puffs Patties Sandwiches,
234,fruits-vegetables,Fruits Vegetables,,exotic-fruits-veggies,Exotic Fruits Veggies,,,,
235,snacks-branded-foods,Snacks Branded Foods,,indian-mithai,Indian Mithai,,tinned-packed-sweets,Tinned Packed Sweets,
236,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,condensed-powdered-milk,Condensed Powdered Milk,
237,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,bath-stool-basin-sets,Bath Stool Basin Sets,
238,cleaning-household,Cleaning Household,,party-festive-needs,Party Festive Needs,,gift-wraps-bags,Gift Wraps Bags,
239,bakery-cakes-dairy,Bakery Cakes Dairy,,cookies-rusk-khari,Cookies Rusk Khari,,bakery-biscuits-cookies,Bakery Biscuits Cookies,
240,baby-care,Baby Care,,baby-diapers-wipes,Baby Diapers Wipes,,diapers,Diapers,
241,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,fruit-baskets,Fruit Baskets,
